id,lat,long,description,full_address,source,created_at,updated_at,address,polygon,street_number,street_name,locality,postal_code,sub_locality,admin_levels,country,country_code,timezone,raw
9292,42.3898206,-71.0454555,,"5 admirals way 312",,"2016-12-19 14:16:25","2016-12-19 14:16:25",,"{""south"":42.3893721,""west"":-71.0457084,""north"":42.3902691,""east"":-71.0452027}",5,"Admirals Way",Chelsea,02150,Massachusetts,,"United States",US,,
9293,42.3883932,-71.0271374,,"210 central avenue 1",,"2016-12-19 14:16:26","2016-12-19 14:16:26",,"{""south"":42.3883932,""west"":-71.0271374,""north"":42.3884066,""east"":-71.0271327}",210,"Central Avenue",Chelsea,02150,Massachusetts,,"United States",US,,
9294,42.39062,-71.033575,,"112 shawmut street 1",,"2016-12-19 14:16:26","2016-12-19 14:16:27",,"{""south"":42.39062,""west"":-71.033575,""north"":42.39062,""east"":-71.033575}",112,"Shawmut Street",Chelsea,02150,Massachusetts,,"United States",US,,
9295,42.3969661,-71.02638,,"757 broadway 1",,"2016-12-19 14:16:27","2016-12-19 14:16:27",,"{""south"":42.3968678,""west"":-71.0265127,""north"":42.3970644,""east"":-71.0262472}",757,Broadway,Chelsea,02150,Massachusetts,,"United States",US,,
9296,42.3962547,-71.0275839,,"725 broadway 1",,"2016-12-19 14:16:28","2016-12-19 14:16:28",,"{""south"":42.3961637,""west"":-71.0276905,""north"":42.3963457,""east"":-71.0274773}",725,Broadway,Chelsea,02150,Massachusetts,,"United States",US,,
9297,42.3963136,-71.0325107,,"100 washington avenue 5",,"2016-12-19 14:16:29","2016-12-19 14:16:29",,"{""south"":42.3962173,""west"":-71.0326423,""north"":42.3964098,""east"":-71.0323792}",100,"Washington Avenue",Chelsea,02150,Massachusetts,,"United States",US,,
9298,42.4036452,-71.0271808,,"4 webster court 8",,"2016-12-19 14:16:29","2016-12-19 14:16:30",,"{""south"":42.4036342,""west"":-71.0271923,""north"":42.4036452,""east"":-71.0271808}",4,"Webster Court",Chelsea,02150,Massachusetts,,"United States",US,,
9299,42.4027199,-71.0381992,,"38 county road",,"2016-12-19 14:16:30","2016-12-19 14:16:31",,"{""south"":42.4027062,""west"":-71.0382025,""north"":42.4027199,""east"":-71.0381992}",38,"County Road",Chelsea,02150,Massachusetts,,"United States",US,,
9300,42.398523,-71.032754,,"46 bloomingdale street 1",,"2016-12-19 14:16:31","2016-12-19 14:16:32",,"{""south"":42.398523,""west"":-71.032754,""north"":42.398523,""east"":-71.032754}",46,"Bloomingdale Street",Chelsea,02150,Massachusetts,,"United States",US,,
9301,42.3952753,-71.0278785,,"71 crescent avenue",,"2016-12-19 14:16:34","2016-12-19 14:16:35",,"{""south"":42.3952616,""west"":-71.0278785,""north"":42.3952753,""east"":-71.0278752}",71,"Crescent Avenue",Chelsea,02150,Massachusetts,,"United States",US,,
9302,42.398551,-71.032103,,"31 bloomingdale street 2",,"2016-12-19 14:16:37","2016-12-19 14:16:37",,"{""south"":42.398551,""west"":-71.032103,""north"":42.398551,""east"":-71.032103}",31,"Bloomingdale Street",Chelsea,02150,Massachusetts,,"United States",US,,
9303,42.4098896,-71.0323136,,"41 palmer street",,"2016-12-19 14:16:38","2016-12-19 14:16:38",,"{""south"":42.4097965,""west"":-71.0324363,""north"":42.4099827,""east"":-71.0321909}",41,"Palmer Street",Chelsea,02150,Massachusetts,,"United States",US,,
9304,42.3891206,-71.032612,,"54 maverick street 2",,"2016-12-19 14:16:39","2016-12-19 14:16:40",,"{""south"":42.3890453,""west"":-71.0326831,""north"":42.3891959,""east"":-71.0325408}",54,"Maverick Street",Chelsea,02150,Massachusetts,,"United States",US,,
9305,42.3901338,-71.0423598,,"106 williams street 1",,"2016-12-19 14:16:42","2016-12-19 14:16:42",,"{""south"":42.3901338,""west"":-71.0423598,""north"":42.3901338,""east"":-71.0423598}",106,"Williams Street",Chelsea,02150,Massachusetts,,"United States",US,,
11515,,,,"258 broadway",,"2016-12-19 20:02:32","2016-12-19 20:02:32",,,,,,,,,,,,
11516,,,,"51 everett avenue",,"2016-12-19 20:02:38","2016-12-19 20:02:38",,,,,,,,,,,,
4747,42.4073151,-71.0287749,,"37 burma road","New Property GeoCoding","2016-05-19 11:40:04","2016-12-19 14:16:45",,"{""south"":42.4073151,""west"":-71.0287749,""north"":42.4073151,""east"":-71.0287749}",37,"Burma Road",Chelsea,02150,Massachusetts,,"United States",US,,
9307,,,,"100 shawmut street 3rear",,"2016-12-19 14:16:45","2016-12-19 14:16:45",,,,,,,,,,,,
9308,42.3941493,-71.0349339,,"194 poplar street 1",,"2016-12-19 14:16:46","2016-12-19 14:16:47",,"{""south"":42.3941493,""west"":-71.0349339,""north"":42.3941493,""east"":-71.0349339}",194,"Poplar Street",Chelsea,02150,Massachusetts,,"United States",US,,
9309,42.3920118,-71.0273673,,"131 marlborough street",,"2016-12-19 14:16:49","2016-12-19 14:16:49",,"{""south"":42.3920118,""west"":-71.0273673,""north"":42.3920118,""east"":-71.0273673}",131,"Marlborough Street",Chelsea,02150,Massachusetts,,"United States",US,,
9310,42.3931911,-71.0341528,,"12 washington avenue 4a",,"2016-12-19 14:16:50","2016-12-19 14:16:50",,"{""south"":42.3930775,""west"":-71.0342627,""north"":42.3933046,""east"":-71.0340429}",12,"Washington Avenue",Chelsea,02150,Massachusetts,,"United States",US,,
9311,42.3950509,-71.0282858,,"63 crescent avenue b",,"2016-12-19 14:16:52","2016-12-19 14:16:53",,"{""south"":42.394967,""west"":-71.0284004,""north"":42.3951348,""east"":-71.0281712}",63,"Crescent Avenue",Chelsea,02150,Massachusetts,,"United States",US,,
9312,42.392549,-71.0304249,,"70 grove street 3",,"2016-12-19 14:16:54","2016-12-19 14:16:55",,"{""south"":42.392549,""west"":-71.0304249,""north"":42.392549,""east"":-71.0304249}",70,"Grove Street",Chelsea,02150,Massachusetts,,"United States",US,,
9313,42.4001562,-71.0327479,,"229 washington avenue 1r",,"2016-12-19 14:16:58","2016-12-19 14:16:58",,"{""south"":42.4001562,""west"":-71.0327479,""north"":42.4001562,""east"":-71.0327479}",229,"Washington Avenue",Chelsea,02150,Massachusetts,,"United States",US,,
9314,42.3990084,-71.0306702,,"10 forsyth street 901",,"2016-12-19 14:16:59","2016-12-19 14:16:59",,"{""south"":42.3987003,""west"":-71.0308791,""north"":42.3993166,""east"":-71.0304614}",10,"Forsyth Street",Chelsea,02150,Massachusetts,,"United States",US,,
9315,42.3890312,-71.0386067,,"59 division street 2",,"2016-12-19 14:17:00","2016-12-19 14:17:00",,"{""south"":42.3890251,""west"":-71.0386067,""north"":42.3890312,""east"":-71.0385899}",59,"Division Street",Chelsea,02150,Massachusetts,,"United States",US,,
9316,42.391367,-71.0340128,,"154 shurtleff street 4",,"2016-12-19 14:17:01","2016-12-19 14:17:01",,"{""south"":42.391367,""west"":-71.0340128,""north"":42.391367,""east"":-71.0340128}",154,"Shurtleff Street",Chelsea,02150,Massachusetts,,"United States",US,,
