tag_id,property_id,created_at,updated_at,deleted_at,created_by,deleted_by
20,1195,"2016-08-04 14:23:17","2016-08-04 14:23:17",,11,
11,17548,"2016-08-04 14:33:50","2016-08-04 14:33:50",,11,
11,1575,"2016-08-04 14:38:54","2016-08-04 14:38:54",,11,
11,2591,"2016-08-04 14:39:53","2016-08-04 14:39:53",,11,
11,17174,"2016-08-04 14:42:09","2016-08-04 14:42:09",,11,
11,7842,"2016-08-04 14:45:37","2016-08-04 14:45:37",,11,
11,15906,"2016-08-04 14:47:31","2016-08-04 14:47:31",,11,
20,15906,"2016-08-04 14:47:34","2016-08-04 14:47:34",,11,
11,1282,"2016-08-04 14:53:33","2016-08-04 14:53:33",,11,
11,10748,"2016-07-20 17:56:54","2016-07-20 17:56:54","2016-09-14 17:30:38",11,11
13,16799,"2016-07-21 03:01:04","2016-07-21 03:01:04",,11,
23,16172,"2016-08-04 14:24:46","2016-08-04 14:24:46",,11,
11,7659,"2016-07-20 17:50:43","2016-07-20 17:50:43",,11,
20,7659,"2016-08-04 13:56:52","2016-08-04 13:56:52",,11,
20,10064,"2016-08-04 14:17:44","2016-08-04 14:17:44","2016-10-19 13:50:26",11,11
11,15297,"2016-08-04 14:44:37","2016-08-04 14:44:37",,11,
23,2138,"2016-08-04 14:04:01","2016-08-04 14:04:01","2016-10-12 17:26:54",11,11
11,18062,"2016-07-20 17:53:32","2016-07-20 17:53:32",,11,
11,10064,"2016-07-20 17:50:06","2016-07-20 17:50:06","2016-10-19 13:50:31",11,11
20,13261,"2016-08-04 14:13:12","2016-08-04 14:13:12","2016-10-19 13:55:22",11,11
19,15846,"2016-08-03 14:30:36","2016-08-03 14:30:36","2016-10-26 21:05:21",11,11
20,18035,"2016-08-03 15:52:12","2016-08-03 15:52:12","2016-10-26 21:18:58",11,11
65,1575,"2016-11-14 21:28:02","2016-11-14 21:28:02",,11,
11,2158,"2016-08-04 14:56:23","2016-08-04 14:56:23",,11,
11,9907,"2016-08-04 14:58:11","2016-08-04 14:58:11",,11,
23,9907,"2016-08-04 14:58:16","2016-08-04 14:58:16",,11,
65,4623,"2016-11-14 21:34:24","2016-11-14 21:34:24",,11,
64,762,"2016-11-14 21:37:05","2016-11-14 21:37:05",,11,
64,4228,"2016-11-14 21:42:18","2016-11-14 21:42:18",,11,
59,134,"2016-11-16 15:16:48","2016-11-16 15:16:48",,11,
11,5284,"2016-08-04 15:12:07","2016-08-04 15:12:07",,11,
20,18457,"2016-09-14 16:10:51","2016-09-14 16:10:51",,11,
11,18106,"2016-08-04 15:01:28","2016-08-04 15:01:28",,11,
38,15990,"2016-09-14 16:17:19","2016-09-14 16:17:19",,11,
11,2640,"2016-08-04 15:18:13","2016-08-04 15:18:13",,11,
20,15990,"2016-09-14 16:17:02","2016-09-14 16:17:02",,11,
43,15990,"2016-09-14 16:16:12","2016-09-14 16:16:12","2016-12-06 15:16:40",11,11
41,18060,"2016-09-12 16:23:07","2016-09-12 16:23:07",,11,
59,806,"2016-12-06 21:41:18","2016-12-06 21:41:18",,11,
41,17553,"2016-09-12 16:42:49","2016-09-12 16:42:49",,11,
20,2311,"2016-08-09 19:21:00","2016-08-09 19:21:00",,11,
29,7843,"2016-09-07 19:01:58","2016-09-07 19:01:58",,11,
20,18106,"2016-08-04 15:01:32","2016-08-04 15:01:32",,11,
11,15660,"2016-08-04 15:13:46","2016-08-04 15:13:46","2016-09-14 17:59:51",11,11
31,2138,"2016-09-07 19:27:07","2016-09-07 19:27:07",,11,
29,2963,"2016-09-07 19:28:12","2016-09-07 19:28:12",,11,
74,22094,"2017-01-20 15:02:06","2017-01-20 15:02:06",,11,
31,13261,"2016-09-07 19:34:53","2016-09-07 19:34:53",,11,
